pedido_id,data_pedido,cliente_id,produto_id,produto,categoria,marca,quantidade,preco_unitario,desconto,frete,valor_total,canal_venda,forma_pagamento,cidade,estado,status_pedido
1,2025-02-28,1151,102,Notebook Air 13,Notebook,TechMax,1,3643.55,109.31,1.15,3535.39,App,Boleto,Salvador,BA,Cancelado
2,2025-07-07,1024,106,Monitor 27 QHD,Monitores,ViewTop,1,1492.15,0.0,2.33,1494.48,App,Cartão de Crédito,Florianópolis,SC,Faturado
3,2025-02-24,1195,105,Monitor 24 Full HD,Monitores,ViewTop,1,945.54,75.64,9.96,879.86,Marketplace,Pix,Campinas,SP,Faturado
4,2025-05-11,1182,111,Tablet T10,Tablet,MobiOne,1,1294.88,38.85,29.56,1285.59,Site,Boleto,Porto Alegre,RS,Entregue
5,2025-03-30,1374,105,Monitor 24 Full HD,Monitores,ViewTop,1,1000.43,0.0,3.25,1003.68,Site,Cartão de Crédito,Campinas,SP,Cancelado
6,2025-09-22,1113,108,Caixa de Som Mini,Áudio,SoundBit,2,197.91,11.87,28.11,412.06,App,Pix,Salvador,BA,Cancelado
7,2025-02-04,1206,101,Notebook Pro 14,Notebook,TechMax,1,4363.63,130.91,24.71,4257.43,Marketplace,Cartão de Crédito,Belo Horizonte,MG,Entregue
8,2025-02-19,1336,104,Teclado Mecânico K80,Periféricos,ClickGo,2,330.73,52.92,19.51,628.05,Marketplace,Pix,Florianópolis,SC,Entregue
9,2025-09-17,1072,111,Tablet T10,Tablet,MobiOne,1,1358.28,108.66,10.38,1260.0,Site,Boleto,Recife,PE,Entregue
10,2025-08-06,1220,109,Smartphone S12,Smartphone,MobiOne,2,2531.04,404.97,1.56,4658.67,App,Pix,Goiânia,GO,Cancelado
11,2025-10-31,1253,106,Monitor 27 QHD,Monitores,ViewTop,1,1470.29,44.11,29.84,1456.02,Site,Cartão de Crédito,Belo Horizonte,MG,Cancelado
12,2025-07-09,1306,102,Notebook Air 13,Notebook,TechMax,1,3412.1,272.97,9.78,3148.91,Site,Pix,Rio de Janeiro,RJ,Entregue
13,2025-10-07,1129,107,Headset Gamer H7,Áudio,SoundBit,4,265.87,0.0,26.93,1090.41,App,Cartão de Crédito,Florianópolis,SC,Cancelado
14,2025-07-07,1058,111,Tablet T10,Tablet,MobiOne,2,1335.21,0.0,48.17,2718.59,Marketplace,Pix,Campinas,SP,Entregue
15,2025-11-23,1257,103,Mouse Sem Fio X1,Periféricos,ClickGo,1,113.22,5.66,3.72,111.28,Site,Boleto,Recife,PE,Entregue
